name;mass;stature
Alexandre;103.0;1.86
Ajello;121.1;1.85
Ancely;107.4;1.93
Aulika;137;1.81
Baradel;106;1.89
Berruyer;99.2;
Blanc Mappaz;101.0;
Bonnin;109.2;1.88
Bouchet;102.0;
Capelli;125.0;1.97
Debeneditis;113;1.84
Demotte;123.2;
Eglaine;119.1;
Fifita;118.4;1.96
Fourcade;99.4;1.81
Fourie;99.2;
Gayraud;123.0;
Gigashvili;121.3;1.78
Gvaladze;124.8;
Jacquot;103.8;1.84
Kubriashvili;122.6;1.81
Martel;104.0;
Montagne;130.3;
Nkinsi;122.5;1.94
Rey;112.0;
Rossi;102.2;
Rousset;110.0;
Sarragalet;"101,5";
Sese;111;1.94
Tadjer;115;1,82
Tuinukuafe;109.5;"1.86"
"Van Rensburg";112.5;
trial;80;1.79
guilleminf;80;1.79
hulleu;80;1.79
